id,Cylinder26,Cylinder36,Cylinder46,,
185,48.6,56.5,68.2,1.206439059,55.49619671
186,48.4,56.1,68.1,1.204670087,55.41482399
187,48.1,55.9,68.1,1.204670087,55.41482399
188,47.8,55.8,67.9,1.201132142,55.25207854
189,47.7,56,67.8,1.19936317,55.17070582
190,47.7,55.8,68.3,1.208208031,55.57756943
191,47.8,55.5,68.4,1.209977003,55.65894215
192,47.8,55.2,68.1,1.204670087,55.41482399
193,47.8,55.2,67.7,1.197594198,55.0893331
194,47.9,55.3,67.4,1.192287281,54.84521493
195,48.1,55.5,67.4,1.192287281,54.84521493
196,48.2,55.9,67.7,1.197594198,55.0893331
197,48.4,56.3,68,1.202901114,55.33345126
198,48.6,56.3,68.4,1.209977003,55.65894215
199,48.9,56.5,68.3,1.208208031,55.57756943
200,48.9,56.3,67.9,1.201132142,55.25207854
201,48.8,56.4,67.6,1.195825226,55.00796038
202,48.6,56,67.1,1.186980364,54.60109676
203,48.3,55.9,67.2,1.188749337,54.68246949
204,48.1,55.9,67.7,1.197594198,55.0893331
205,48,56.1,68.3,1.208208031,55.57756943
206,48.1,56.1,68.9,1.218821864,56.06580577
207,48.1,56.1,69,1.220590837,56.14717849
208,48.1,56.2,68.9,1.218821864,56.06580577
209,48.1,56.3,68.5,1.211745976,55.74031488
210,48.1,56.4,68.2,1.206439059,55.49619671
211,48.2,56.3,68.5,1.211745976,55.74031488
212,48.2,56.3,68.2,1.206439059,55.49619671
213,48.3,56.2,68,1.202901114,55.33345126
214,48.3,55.9,67.8,1.19936317,55.17070582
215,48.5,55.7,68.3,1.208208031,55.57756943
216,48.4,55.3,68.4,1.209977003,55.65894215
217,48.2,55.5,68.4,1.209977003,55.65894215
218,48.3,55.6,68.3,1.208208031,55.57756943
219,48.3,56.1,68.1,1.204670087,55.41482399
220,48.4,56.3,68.2,1.206439059,55.49619671
221,48.8,56.5,68.1,1.204670087,55.41482399
222,48.6,56.6,68,1.202901114,55.33345126
223,48.5,56.6,68.2,1.206439059,55.49619671
224,48.3,56.4,68.5,1.211745976,55.74031488
225,48.1,56.1,68.5,1.211745976,55.74031488
226,48,55.7,68.3,1.208208031,55.57756943
227,47.8,55.3,67.8,1.19936317,55.17070582
228,47.7,55.2,67.4,1.192287281,54.84521493
229,47.9,55.5,67.5,1.194056253,54.92658765
230,48.1,55.8,67.9,1.201132142,55.25207854
231,48.3,56.3,68.5,1.211745976,55.74031488
232,48.4,56.4,68.8,1.217052892,55.98443304
233,48.4,56.6,68.6,1.213514948,55.8216876
234,48.4,56.7,68.4,1.209977003,55.65894215
235,48.5,56.7,67.9,1.201132142,55.25207854
236,48.5,56.4,67.6,1.195825226,55.00796038
237,48.6,56.3,67.4,1.192287281,54.84521493
238,48.5,56.2,66.9,1.18344242,54.43835132
239,48.5,56.3,66.5,1.176366531,54.11286043
240,48.2,56.2,66.5,1.176366531,54.11286043
241,48.1,56.2,66.7,1.179904475,54.27560587
242,48,56.3,67.2,1.188749337,54.68246949
243,47.9,56.5,67.5,1.194056253,54.92658765
244,47.8,56.4,67.9,1.201132142,55.25207854
245,47.7,56.4,68.3,1.208208031,55.57756943
246,47.6,56.3,68.5,1.211745976,55.74031488
247,47.7,56.4,68.2,1.206439059,55.49619671
248,47.8,56.2,67.3,1.190518309,54.76384221
